PermitNo,Permittee,SiteNo,SiteCompany,SiteAddr1,SiteCity,SiteState,SiteZipCode,MapCategory
FA0000796,TESORO NORTHSTORE #14,FA0000796,TESORO NORTHSTORE #14,341 BONIFACE PKWY,ANCHORAGE,AK,99504-1031,04G
FA0000797,MINI STOP,FA0000797,MINI STOP,1565 S BRAGAW ST,ANCHORAGE,AK,99508,02F
FA0000801,TESORO NORTHSTORE #62,FA0000801,TESORO NORTHSTORE #62,5121 ARCTIC BLVD,ANCHORAGE,AK,99503-7051,08A
FA0000802,SEVEN STAR FOOD MART,FA0000802,SEVEN STAR FOOD MART,916 INGRA ST #A,ANCHORAGE,AK,99501-3826,02B
FA0000804,TESORO NORTHSTORE #002,FA0000804,TESORO NORTHSTORE #002,4608 SPENARD RD,ANCHORAGE,AK,99517-3287,03C
FA0000805,TESORO NORTHSTORE #003,FA0000805,TESORO NORTHSTORE #003,6740 LAKE OTIS PKWY,ANCHORAGE,AK,99507-2125,06B
FA0000807,HOLIDAY STATION STORE #620,FA0000807,HOLIDAY STATION STORE #620,2900 E TUDOR RD,ANCHORAGE,AK,99507-1208,04B
FA0000809,TESORO NORTHSTORE #54,FA0000809,TESORO NORTHSTORE #54,90000 SEWARD HWY,ANCHORAGE,AK,99503-2217,NULL
FA0000810,SHOPPERS CACHE & LAUNDRY CTR,FA0000810,SHOPPERS CACHE & LAUNDRY CTR,19223 OLD GLENN HWY,CHUGIAK,AK,99567-6460,NULL
FA0000811,BUS STOP SHOP GROCERY,FA0000811,BUS STOP SHOP GROCERY,700 W 6TH AVE 108,ANCHORAGE,AK,99501-2170,01C
FA0000812,TESORO NORTHSTORE #010,FA0000812,TESORO NORTHSTORE #010,500 HOLLYWOOD DR,ANCHORAGE,AK,99501-1219,01F
FA0000814,BIG BOY EXPRESS MARKET,FA0000814,BIG BOY EXPRESS MARKET,3505 SPENARD RD,ANCHORAGE,AK,99503-3711,08B
FA0000815,MR PRIME BEEF,FA0000815,MR PRIME BEEF,7521 OLD SEWARD HWY,ANCHORAGE,AK,99518-3228,06C
FA0000817,DIMOND CHEVRON,FA0000817,DIMOND CHEVRON,2200 W DIMOND BLVD,ANCHORAGE,AK,99515-1456,07F
FA0000818,ESSENTIAL 1 POWER STOP,FA0000818,ESSENTIAL 1 POWER STOP,MI 101 SEWARD HWY,GIRDWOOD,AK,99587,NULL
FA0000820,HOLIDAY STATION STORE #601,FA0000820,HOLIDAY STATION STORE #601,1405 S BRAGAW ST,ANCHORAGE,AK,99508,02F
FA0000822,HOLIDAY STATIONSTORE #614,FA0000822,HOLIDAY STATIONSTORE #614,1900 MULDOON RD,ANCHORAGE,AK,99504-2804,04H
FA0000824,HOLIDAY STATION STORE #610,FA0000824,HOLIDAY STATION STORE #610,1500 E 5TH AVE,ANCHORAGE,AK,99501-2835,02C
FA0000827,RURAL DISCOUNT CENTER,FA0000827,RURAL DISCOUNT CENTER,18915 OLD GLENN HWY,CHUGIAK,AK,99567-6460,NULL
FA0000829,HOLIDAY STATIONSTORE #625,FA0000829,HOLIDAY STATIONSTORE #625,6828 LAKE OTIS PKWY,ANCHORAGE,AK,99507-2433,06B
FA0000830,HOLIDAY STATIONSTORE #630,FA0000830,HOLIDAY STATIONSTORE #630,3727 SPENARD RD,ANCHORAGE,AK,99517-2675,08B
FA0000831,HOLIDAY STATION STORE #629,FA0000831,HOLIDAY STATION STORE #629,2025 W DIMOND BLVD,ANCHORAGE,AK,99515-1455,07F
